,video_id,Positive Percentage,Channel
439,CMfo-s9izIc,35.0,['Vox']
440,kxqeW4v350M,45.0,['NFL']
441,-DGXHMOhXAw,36.0,[]
442,HzIB6TC1Ghw,40.5,['USA TODAY']
443,LTsSGSi9mqo,51.75,['CrazyRussianHacker']
444,9dobJDxPEzM,47.0,['BillieEilishVEVO']
445,taKGnsqeCPs,58.0,['NickJonasVEVO']
446,ZBo1S6YZXa0,69.0,['Jaclyn Hill']
447,MMEgnbIVWXc,64.56,['Media Galactic']
448,qqNn14l7hhA,58.0,['Nerdist']
449,57-gdzXqkRc,44.26,['TheEllenShow']
450,83ZrTybo2t4,50.75,['The Dodo']
451,bgc2rSzKA3w,34.74,['TIME']
452,8bSCIUAeLis,23.08,['VHS Video vault']
453,rtk-BLeHv6M,40.0,['HellthyJunkFood']
454,XaE08gz0ogk,65.0,['ColliderVideos']
455,RkBEEiG-wd4,31.25,['Be Amazed']
456,HjkmacUCJw8,47.43,['Access Hollywood']
457,VSRz1ReNg3Y,70.37,['Refinery29']
458,2m65xSqUWaI,52.53,['Bird Plan']
459,L9IDqn-qt98,5.69,['Botingol' 'Botingol TV']
460,ruRvc4huFkE,39.0,['KrewellaMusicVEVO']
461,T-IXvsQuogs,24.67,['Gus Johnson']
462,U1ArsQ72hRA,80.0,['Animal Adventure Park']
463,3iYOBuyS97A,33.33,['Entertainment Tonight']
464,Ah3V4S15Lyc,32.0,['Tech Insider']
465,-CEuQhqNzz4,40.17,[]
466,S-a8NVEUO4E,100.0,['E! Live from the Red Carpet']
467,uAI5rSiGyNY,54.5,['SUPERFRUIT']
468,Oz88_p125uM,0.0,['ViralVideoUK']
469,fBTBc2OA9fw,41.0,"[""Spinnin' Records""]"
470,jXj6c7bmxII,28.0,['The CW Television Network']
471,NTe6-26-fHg,58.0,['Galantis']
472,Eef-1HLKgoQ,46.82,['Screen Junkies']
473,8ropWor8aAM,77.0,"[""America's Got Talent""]"
474,dInwVhRtN4E,30.19,['CinemaSins']
475,cOlibbx5sx0,59.0,['Jimmy Kimmel Live']
476,qtfMzdqifF0,38.6,['shane']
477,QC-cMv0e3Dc,47.2,['CGP Grey']
478,8ndhidEmUbI,38.2,['Warner Bros. Pictures']
479,VGBZ2YfVx1Y,44.29,['Dolan Twins']
480,N_zDcuX1Y54,58.4,['NikkieTutorials']
481,fUffrvUjwCY,55.67,['Macklemore LLC']
482,jKInAMNrXRA,43.33,['Guardian Wires']
483,7Cn0-CwintU,46.73,['TheEllenShow']
484,WJfeapsCnPI,27.2,['CBS Los Angeles']
485,veqMs7SQteY,44.0,['CollegeHumor']
486,dX72axAvIGc,28.67,['ProZD']
487,paXOkGMyG8M,57.6,['SiaVEVO']
488,F8i8pnZmk50,50.75,['Jonathan Morrison']
489,1QWLyi03twg,41.3,['Lionsgate Movies']
490,-zCYX0esYlo,38.0,[]
491,PbW14E2eHJ0,46.6,['ZEDDVEVO']
492,eLdqkQWUVFI,34.33,['jacksfilms']
493,xmhRIEqbKIY,34.67,['NFL']
494,Rmg5fLRBkZo,56.5,['CaseyNeistat']
495,7Y-U9NN6-N4,27.25,['Smosh']
496,E5Hfl6Nqw3Q,21.6,['Cardi B']
497,OHL3J9cKNyg,62.07,['Dancing With The Stars']
498,IxI1iOi0t-c,42.0,['Netflix']
499,Z-LmHjkN2EU,17.5,['Xov Xwm_Lom Zem']
500,6Vb6Z9i5sHs,15.25,['Мегаполис']
